"DATE","PRECIP","PET","FLOW_cumecs"
"1960-01-01",3.2613671939433,0.372733454239411,NA
"1960-01-02",1.84505938403699,0.311093020889868,NA
"1960-01-03",5.11630776881902,0.352296704565124,NA
"1960-01-04",1.55815683133621,0.371829393402997,NA
"1960-01-05",0,0.337451924919171,NA
"1960-01-06",0,0.270879067523104,NA
"1960-01-07",0.00464442164433697,0.24564037301755,NA
"1960-01-08",0.0423824216404858,0.244790074649727,NA
"1960-01-09",0.484109862710623,0.253090539812643,NA
"1960-01-10",2.37947673470587,0.25702234077215,NA
"1960-01-11",0.131784508592453,0.284067677655458,NA
"1960-01-12",11.6733366086359,0.262905070307765,NA
"1960-01-13",5.82412437218563,0.24959083329013,NA
"1960-01-14",1.10073269126591,0.203092678584856,NA
"1960-01-15",0.224273336188629,0.244162059611174,NA
"1960-01-16",0.0598402587360012,0.27570581567945,NA
"1960-01-17",2.1412963795418,0.26544858615796,NA
"1960-01-18",0.222356890505949,0.324365229556699,NA
"1960-01-19",3.56359648531166,0.381135359908036,NA
"1960-01-20",13.2732622871616,0.321616192182386,NA
"1960-01-21",0.831512847505762,0.389383699481624,NA
"1960-01-22",2.72644402143822,0.428825362520317,NA
"1960-01-23",23.2582499988739,0.501332256479397,NA
"1960-01-24",21.8521844026828,0.47600938532063,NA
"1960-01-25",0.00153059373552704,0.397690824552357,NA
"1960-01-26",0.0121034167148279,0.359259395397437,NA
"1960-01-27",35.8473351391906,0.370746713136442,NA
"1960-01-28",2.08094541197658,0.37647481661037,NA
"1960-01-29",1.96426628114715,0.418961654632089,NA
"1960-01-30",1.95463346252939,0.457853422145883,NA
"1960-01-31",0.753391946288361,0.527784633505432,NA
"1960-02-01",3.0120657774013,0.498886004491069,NA
"1960-02-02",10.1300785200768,0.516237217881041,NA
"1960-02-03",3.87914464523629,0.579303595501359,NA
"1960-02-04",0.578714069030896,0.512101043739711,NA
"1960-02-05",0.116656669511217,0.494208146728484,NA
"1960-02-06",0.0270548443946507,0.457763524550836,NA
"1960-02-07",0,0.46802985076446,NA
"1960-02-08",0.00579863966118219,0.414758058089746,NA
"1960-02-09",0.0203124135520929,0.458386197873141,NA
"1960-02-10",1.31724870159982,0.490177719812103,NA
"1960-02-11",7.46190635660767,0.431567085861753,NA
"1960-02-12",4.19891386207704,0.438060495919756,NA
"1960-02-13",3.81872570664465,0.42979118308649,NA
"1960-02-14",2.38366191518718,0.467044443426307,NA
"1960-02-15",0.0025657505452541,0.459918954730739,NA
"1960-02-16",0.0337931772930046,0.476755782840513,NA
"1960-02-17",0,0.448948152614171,NA
"1960-02-18",4.57555195207166,0.485155177787629,NA
"1960-02-19",0.889077241976661,0.580942412751269,NA
"1960-02-20",1.08798956789388,0.646719855264539,NA
"1960-02-21",0.00779793967178207,0.612692042089552,NA
"1960-02-22",0.0210210706972251,0.587123007976662,NA
"1960-02-23",0,0.611037566228288,NA
"1960-02-24",14.5961783018363,0.603531158671191,NA
"1960-02-25",3.21554317118304,0.697422526253939,NA
"1960-02-26",15.4097131262533,0.772926075032374,NA
"1960-02-27",0.347996280665907,0.851326131475101,NA
"1960-02-28",0.00500834673657593,0.995713394688171,NA
"1960-02-29",0.97929958294146,1.01397902988038,NA
"1960-03-01",2.97361323233603,0.955160777144034,NA
"1960-03-02",2.53356771334141,0.937001894780926,NA
"1960-03-03",0.149362468853373,0.962352059731718,NA
"1960-03-04",0.00498003944022635,0.84697335909258,NA
"1960-03-05",0,0.890856545515283,NA
"1960-03-06",0,0.867870944415547,NA
"1960-03-07",0,0.779701063138543,NA
"1960-03-08",1.9672144199972,0.704333935657491,NA
"1960-03-09",2.49270708310686,0.795056206113987,NA
"1960-03-10",2.98406946248789,0.932841569936953,NA
"1960-03-11",1.83222006800788,1.02287755122991,NA
"1960-03-12",2.6516560333,1.03923026996046,NA
"1960-03-13",5.23183519382499,1.08139717531654,NA
"1960-03-14",0.998981962029417,1.12254694914892,NA
"1960-03-15",1.73342390483032,1.17637491615814,NA
"1960-03-16",1.16119279021118,1.00243523636744,NA
"1960-03-17",0,0.921658407876522,NA
"1960-03-18",1.67441502120634,0.934920161017188,NA
"1960-03-19",0.16870997181005,1.0026362523538,NA
"1960-03-20",0,1.09625197226808,NA
"1960-03-21",0,1.05526832188845,NA
"1960-03-22",0,1.11514084027255,NA
"1960-03-23",0,1.19345988288912,NA
"1960-03-24",0,1.31245086590587,NA
"1960-03-25",0,1.23520849277624,NA
"1960-03-26",0.162227374195377,1.13791087398318,NA
"1960-03-27",0.0103083561379103,1.15695774194241,NA
"1960-03-28",4.52967073007198,1.1594027450428,NA
"1960-03-29",16.1697377315733,1.06512517841168,NA
"1960-03-30",0.297193868960375,1.11168207575649,NA
"1960-03-31",0.0340095511505968,1.28671976841781,NA
"1960-04-01",1.10311040945721,1.27288742305013,NA
"1960-04-02",11.8945213553628,1.42901377887735,NA
"1960-04-03",3.29168687333351,1.49856780451374,NA
"1960-04-04",0.987766652565387,1.56086221261555,NA
"1960-04-05",1.06941235222981,1.64958765538465,NA
"1960-04-06",4.76662292786617,1.70199627915033,NA
"1960-04-07",0,1.55760944564242,NA
"1960-04-08",0.995339734685832,1.63035886959319,NA
"1960-04-09",3.96278724605955,1.69539279682876,NA
"1960-04-10",0.918735040590184,1.60053973497468,NA
"1960-04-11",1.07066724632127,1.49244114744802,NA
"1960-04-12",0.340451233097586,1.48458371208176,NA
"1960-04-13",0.401300329685138,1.71631382503569,NA
"1960-04-14",0.0498289364413964,1.62621639601702,NA
