"DATE","PRECIP","PET","TEMP","FLOW_mmday","FLOW_cumecs"
1961-01-01,"12.9614440676",0.289445908005,4.05014780400001,NA,NA
1961-01-02,"1.03533964859",0.171838152086,4.24201858100002,NA,NA
1961-01-03,"3.9871796275",0.192907116864,1.68053209500005,NA,NA
1961-01-04,"1.6007803445",0.340530972867,2.75907939200005,NA,NA
1961-01-05,"8.41702403116",0,1.71503378400001,NA,NA
1961-01-06,"0.0",0.249161612021,3.01444256800005,NA,NA
1961-01-07,"7.18217331439",0.380631647883,0.199873311000033,NA,NA
1961-01-08,"0.258214617418",0,1.07582348,NA,NA
1961-01-09,"0.0840573858317",0.0676614606703,2.51497043900002,NA,NA
1961-01-10,"0.0",0.136060673482,1.37347973000004,NA,NA
1961-01-11,"21.6934974128",0.558973487648,1.01839104700002,NA,NA
1961-01-12,"3.85438218767",0,2.51478040500001,NA,NA
1961-01-13,"0.721336752947",0.0136234902047,4.36556165500002,NA,NA
1961-01-14,"0.0835996861047",0.0263250711802,0.659607264000044,NA,NA
1961-01-15,"0.0625881406617",0.0117357885515,-1.131693412,NA,NA
1961-01-16,"0.0",0.177622057941,-1.46989020299998,NA,NA
1961-01-17,"0.630865974604",0.294230796195,0.77833614900004,NA,NA
1961-01-18,"5.34966074299",0.194821950552,3.09265202700004,NA,NA
1961-01-19,"0.827966128623",0.203691760914,4.17542229700001,NA,NA
1961-01-20,"0.17264318428",0.0234701800991,2.25897381800002,NA,NA
1961-01-21,"1.60500939827",0.0518952240815,1.95542652,NA,NA
1961-01-22,"0.0",0.184576209816,2.42183277000004,NA,NA
1961-01-23,"0.0",0.553151558541,1.66292229700002,NA,NA
1961-01-24,"0.0166384766838",0.587246291702,0.528483953000034,NA,NA
1961-01-25,"0.0",0.743139236038,0.862732264000044,NA,NA
1961-01-26,"37.4462350315",1.54279257285,2.72873733100005,NA,NA
1961-01-27,"7.5102124912",0,3.764653716,NA,NA
1961-01-28,"9.03207220349",0.604956714527,4.12362753400004,NA,NA
1961-01-29,"5.26383223552",0.190615885967,4.98293918900004,NA,NA
1961-01-30,"1.20993698111",0.44241130932,3.94265202700001,NA,NA
1961-01-31,"5.2970937183",0.538868218499,2.754391892,NA,NA
1961-02-01,"1.79765185484",0.258094065898,2.61881334500004,NA,NA
1961-02-02,"0.202486835993",0.104222230654,1.899767736,NA,NA
1961-02-03,"16.6815100367",0.288882343189,0.964717061000044,NA,NA
1961-02-04,"13.2728023928",0.165236251419,1.81374577700001,NA,NA
1961-02-05,"19.3094881402",0.188313582137,4.36714527000004,NA,NA
1961-02-06,"5.89400145623",0.774338923274,3.64869087800002,NA,NA
1961-02-07,"15.6557008829",0.992389328415,4.566342905,NA,NA
1961-02-08,"6.08898935844",0.0528201902235,6.51526604700001,NA,NA
1961-02-09,"2.76260676561",1.13200840306,6.69404560800001,NA,NA
1961-02-10,"1.45529096982",0.0639633024061,6.21245777000001,NA,NA
1961-02-11,"8.14108464556",0.663954946157,6.31254223000002,NA,NA
1961-02-12,"8.14418297981",0.39133605957,6.31157094600002,NA,NA
1961-02-13,"1.91644145313",0.886691944019,7.45656672300004,NA,NA
1961-02-14,"3.12515884289",0.411658333443,8.04239864900001,NA,NA
1961-02-15,"0.899345156563",0.453595424343,7.11102195900003,NA,NA
1961-02-16,"0.163586498705",0.0376919050474,6.143137669,NA,NA
1961-02-17,"0.798764664983",0.530528754157,6.38097550700002,NA,NA
1961-02-18,"0.000279427409473",0.524058491475,7.77702702700003,NA,NA
1961-02-19,"0.0",0.838217080606,7.28925253400001,NA,NA
1961-02-20,"0.10000786674",0.729434534021,7.13737331100003,NA,NA
1961-02-21,"0.0",0.356311736236,5.18207348000004,NA,NA
1961-02-22,"0.0",0.490280976167,3.02166385100003,NA,NA
1961-02-23,"0.0",0.761181723105,4.30527871600003,NA,NA
1961-02-24,"3.73606145957",0.669992354109,3.35380067600005,NA,NA
1961-02-25,"10.09187591",0.503912848395,4.05857263500002,NA,NA
1961-02-26,"13.9122675562",1.14257927972,6.17394425700002,NA,NA
1961-02-27,"2.22334412154",0.944847643053,5.28551520300005,NA,NA
1961-02-28,"2.4595031558",1.07143554688,5.830574324,NA,NA
1961-03-01,"7.65514001797",0.356601447028,6.86045185800003,NA,NA
1961-03-02,"0.977324361029",0.964521088471,6.655342061,NA,NA
1961-03-03,"0.0460057684193",0.667155662743,5.51138091200005,NA,NA
1961-03-04,"0.0",0.60380801639,7.081545608,NA,NA
1961-03-05,"0.0",1.11684058937,8.16313344600002,NA,NA
1961-03-06,"0.483810767948",0.715939990894,6.634691723,NA,NA
1961-03-07,"0.162087872586",0.384301881532,7.952005912,NA,NA
1961-03-08,"0.240790143932",0.647747266615,8.29628378400002,NA,NA
1961-03-09,"0.0",0.805434108425,7.76676520300003,NA,NA
1961-03-10,"0.14084342908",0.785970904376,7.86207770300001,NA,NA
1961-03-11,"5.94643756367",0.940552912532,6.87797719600002,NA,NA
1961-03-12,"4.56474633789",0.0298894882202,7.60464527000005,NA,NA
1961-03-13,"0.135778715286",0.92382828996,9.19708614900003,NA,NA
1961-03-14,"0.000278895917195",0.796040880358,9.01646959500005,NA,NA
1961-03-15,"0.0",1.11309806205,8.24904983100004,NA,NA
1961-03-16,"0.0343563817208",1.19582808211,8.81936233100004,NA,NA
1961-03-17,"5.15370469326",0.396809799607,5.37119932400003,NA,NA
1961-03-18,"0.398922881459",1.31865894215,4.69814189200002,NA,NA
1961-03-19,"4.37995726042",1.27359107765,3.60266047300001,NA,NA
