STATION,LOCAL_NUM,RIVER,LOCATION,EASTING,NORTHING,NGR,SQ_KM,HA,OPERATOR,OPENED,CLOSED,ALTITUDE,TYPE,BF_FLOW,SF_FLOW,SENSITIVITY,NHMP,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,FAR,FEH_POOLING,FEH_QMED,FEH_NEITHER,START_YEAR,END_YEAR,GDF_COMPLETENESS,MEAN_FLOW,MIN_FLOW,MAX_FLOW,Q95,Q70,Q50,Q10,BASE_FLOW_INDEX,SAAR6190,SAAR4170,PROPWET,SMDBAR,BFIHOST,FARL,HIGH_PERM_BED,MOD_PERM_BED,LOW_PERM_BED,HIGH_PERM_SUP,LOW_PERM_SUP,MIXED_PERM_SUP,MIN_ALT,ALT_10_PERCENTILE,ALT_50_PERCENTILE,ALT_90_PERCENTILE,MAX_ALT,WOODLAND,ARABLE_HORT,GRASS,MOUNTAIN_HEATH_BOG,URBAN,DPSBAR,QMED
39019,2269TH,Lambourn,Shaw,447000,168200,SU470336,234.1,39,EA-T,01/01/1962,,75.6,C,,17,13.8,YES,YES,YES,RG,YES,YES,NO,1962,2015,100,1.766,0.411,9.529,0.765,1.14,1.49,2.98,0.97,736,737,0.32,,0.839,0.979,97.324352,0,0,1.471058,30.237989,6.361763,75.6,118.2,165.5,206.3,260.3,10.27721,53.825389,30.19708,0.102039,0.005,59.2,3.545
81002,133171,Cree,Newton Stewart,241300,565300,NX412666,368,81,SEPA-SW,01/01/1963,,4.8,VA,330,,7.6,YES,YES,YES,N,YES,YES,NO,1963,2015,100,15.816,0.138,248.1,1.055,4.112,8.266,39.56,0.28,1760,1716,0.69,,0.341,0.932,0,0,100,1.805652,14.366151,38.122011,4.8,65.6,211.6,450.8,838.2,49.41126,0.324912,39.50417,8.956934,0.002,118.7,226.806
